,_id,CATEGORY,DASH_CATEGORY
2,5f2bca13ba0be61b0c1ca1b5,NULL,M1
3,5f2bca13ba0be61b0c1ca1d0,NULL,M1
5,5f2bca14ba0be61b0c1ca26d,NULL,M1
8,5f2bca14ba0be61b0c1ca29d,NULL,M1
15,5f2bca14ba0be61b0c1ca351,NULL,M1
22,5f2bca14ba0be61b0c1ca46b,NULL,M1
28,5f2bca14ba0be61b0c1ca4d0,NULL,M1
39,5f2bca16ba0be61b0c1ca58d,NULL,M1
47,5f2bca16ba0be61b0c1ca652,NULL,M1
50,5f2bca16ba0be61b0c1ca6cb,NULL,M1
63,5f2bca16ba0be61b0c1ca891,NULL,M1
68,5f2bca18ba0be61b0c1caa61,NULL,M1
76,5f2bca18ba0be61b0c1cab41,NULL,M1
83,5f2bca18ba0be61b0c1cace1,NULL,M1
84,5f2bca1aba0be61b0c1cad3e,NULL,M1
85,5f2bca1aba0be61b0c1cad59,NULL,M1
86,5f2bca1aba0be61b0c1cad64,NULL,M1
87,5f2bca1aba0be61b0c1cad90,NULL,M1
96,5f2bca1aba0be61b0c1caefa,NULL,M1
98,5f2bca1aba0be61b0c1caf19,NULL,M1
102,5f2bca1aba0be61b0c1cafbe,NULL,M1
105,5f2bca1aba0be61b0c1cb0a7,NULL,M1
108,5f2bca1cba0be61b0c1cb168,NULL,M1
109,5f2bca1cba0be61b0c1cb19d,NULL,M1
114,5f2bca1cba0be61b0c1cb224,NULL,M1
120,5f2bca1dba0be61b0c1cb2e6,NULL,M1
126,5f2bca1dba0be61b0c1cb4fc,NULL,M1
131,5f2bca1fba0be61b0c1cb65a,NULL,M1
132,5f2bca1fba0be61b0c1cb662,NULL,M1
136,5f2bca1fba0be61b0c1cb752,NULL,M1
137,5f2bca1fba0be61b0c1cb75a,NULL,M1
148,5f2bca1fba0be61b0c1cb7d6,NULL,M1
149,5f2bca1fba0be61b0c1cb7d9,NULL,M1
156,5f2bca1fba0be61b0c1cb80e,NULL,M1
159,5f2bca1fba0be61b0c1cb844,NULL,M1
162,5f2bca1fba0be61b0c1cb87d,NULL,M1
165,5f2bca1fba0be61b0c1cb8a0,NULL,M1
171,5f2bca20ba0be61b0c1cb8f2,NULL,M1
183,5f2bca20ba0be61b0c1cb95e,NULL,M1
187,5f2bca20ba0be61b0c1cb981,NULL,M1
188,5f2bca20ba0be61b0c1cb98b,NULL,M1
193,5f2bca20ba0be61b0c1cb9bc,NULL,M1
194,5f2bca20ba0be61b0c1cb9d6,NULL,M1
199,5f2bca20ba0be61b0c1cb9f9,NULL,M1
200,5f2bca20ba0be61b0c1cba06,NULL,M1
202,5f2bca20ba0be61b0c1cba12,NULL,M1
208,5f2bca20ba0be61b0c1cba42,NULL,M1
209,5f2bca20ba0be61b0c1cba44,NULL,M1
210,5f2bca20ba0be61b0c1cba45,NULL,M1
211,5f2bca20ba0be61b0c1cba47,NULL,M1
216,5f2bca20ba0be61b0c1cba99,NULL,M1
219,5f2bca20ba0be61b0c1cbab3,NULL,M1
226,5f2bca20ba0be61b0c1cbad8,NULL,M1
228,5f2bca20ba0be61b0c1cbae4,NULL,M1
237,5f2bca20ba0be61b0c1cbb47,NULL,M1
241,5f2bca20ba0be61b0c1cbb78,NULL,M1
243,5f2bca20ba0be61b0c1cbb8e,NULL,M1
246,5f2bca20ba0be61b0c1cbbda,NULL,M1
247,5f2bca20ba0be61b0c1cbbdc,NULL,M1
250,5f2bca20ba0be61b0c1cbbdf,NULL,M1
252,5f2bca20ba0be61b0c1cbbfb,NULL,M1
256,5f2bca20ba0be61b0c1cbc36,NULL,M1
265,5f2bca20ba0be61b0c1cbc6a,NULL,M1
266,5f2bca20ba0be61b0c1cbc77,NULL,M1
270,5f2bca20ba0be61b0c1cbc87,NULL,M1
279,5f2bca21ba0be61b0c1cbd30,NULL,M1
282,5f2bca21ba0be61b0c1cbd56,NULL,M1
296,5f2bca21ba0be61b0c1cbde0,NULL,M1
297,5f2bca21ba0be61b0c1cbde9,NULL,M1
300,5f2bca21ba0be61b0c1cbe0e,NULL,M1
307,5f2bca21ba0be61b0c1cbe69,NULL,M1
309,5f2bca21ba0be61b0c1cbe77,NULL,M1
310,5f2bca21ba0be61b0c1cbe81,NULL,M1
312,5f2bca21ba0be61b0c1cbec6,NULL,M1
318,5f2bca21ba0be61b0c1cbef4,NULL,M1
322,5f2bca21ba0be61b0c1cbf2a,NULL,M1
323,5f2bca21ba0be61b0c1cbf30,NULL,M1
325,5f2bca21ba0be61b0c1cbf39,NULL,M1
327,5f2bca21ba0be61b0c1cbf44,NULL,M1
328,5f2bca21ba0be61b0c1cbf48,NULL,M1
330,5f2bca21ba0be61b0c1cbf6d,NULL,M1
333,5f2bca21ba0be61b0c1cbfa0,NULL,M1
338,5f2bca21ba0be61b0c1cbfc8,NULL,M1
341,5f2bca21ba0be61b0c1cbfee,NULL,M1
344,5f2bca21ba0be61b0c1cc041,NULL,M1
346,5f2bca21ba0be61b0c1cc079,NULL,M1
347,5f2bca21ba0be61b0c1cc097,NULL,M1
352,5f2bca22ba0be61b0c1cc0d1,NULL,M1
354,5f2bca22ba0be61b0c1cc0ea,NULL,M1
361,5f2bca22ba0be61b0c1cc16e,NULL,M1
363,5f2bca22ba0be61b0c1cc183,NULL,M1
370,5f2bca22ba0be61b0c1cc1d6,NULL,M1
382,5f2bca22ba0be61b0c1cc247,NULL,M1
385,5f2bca22ba0be61b0c1cc276,NULL,M1
